sep=,
"time","metric"," "
2025-05-15 21:00:00,Student,2.00 Mil
2025-05-15 21:00:00,Unknown,999 K
2025-05-15 22:00:00,Alum,9.26 K
2025-05-15 22:00:00,Faculty,105 K
2025-05-15 22:00:00,Member,24.3 K
2025-05-15 22:00:00,Staff,110 K
2025-05-15 22:00:00,Student,1.48 Mil
2025-05-15 22:00:00,Unknown,371 K
2025-05-15 23:00:00,Faculty,23.5 K
2025-05-15 23:00:00,Member,1.96 K
2025-05-15 23:00:00,Staff,31.0 K
2025-05-15 23:00:00,Student,1.37 Mil
2025-05-15 23:00:00,Unknown,17.7 K
2025-05-16 00:00:00,Faculty,2.83 K
2025-05-16 00:00:00,Member,24.4 K
2025-05-16 00:00:00,Staff,77.6 K
2025-05-16 00:00:00,Student,1.98 Mil
2025-05-16 00:00:00,Unknown,21.4 K
2025-05-16 01:00:00,Member,5.44 K
2025-05-16 01:00:00,Staff,4.33 K
2025-05-16 01:00:00,Student,2.91 Mil
2025-05-16 01:00:00,Unknown,18.3 K
2025-05-16 02:00:00,Member,134 K
2025-05-16 02:00:00,Staff,8.35 K
2025-05-16 02:00:00,Student,1.93 Mil
2025-05-16 02:00:00,Unknown,17.1 K
2025-05-16 03:00:00,Member,168 K
2025-05-16 03:00:00,Staff,4.86 K
2025-05-16 03:00:00,Student,88.4 K
2025-05-16 04:00:00,Member,251 K
2025-05-16 04:00:00,Staff,10.7 K
2025-05-16 04:00:00,Student,113 K
2025-05-16 05:00:00,Faculty,490 K
2025-05-16 05:00:00,Member,53.5 K
2025-05-16 05:00:00,Staff,56.7 K
2025-05-16 05:00:00,Student,120 K
2025-05-16 06:00:00,ExEmployee,13.6 K
2025-05-16 06:00:00,Staff,113 K
2025-05-16 06:00:00,Student,34.0 K
2025-05-16 07:00:00,ExEmployee,13.8 K
2025-05-16 07:00:00,Faculty,136 K
2025-05-16 07:00:00,Staff,16.0 K
2025-05-16 07:00:00,Student,49.3 K
2025-05-16 07:00:00,Unknown,37.0 K
2025-05-16 08:00:00,Faculty,97.5 K
2025-05-16 08:00:00,Staff,1.76 Mil
2025-05-16 08:00:00,Student,374 K
2025-05-16 08:00:00,Unknown,636 K
2025-05-16 09:00:00,Faculty,13.7 K
2025-05-16 09:00:00,Staff,991 K
2025-05-16 09:00:00,Student,1.48 Mil
2025-05-16 09:00:00,Unknown,2.17 Mil
2025-05-16 10:00:00,Faculty,324 K
2025-05-16 10:00:00,Staff,1.71 Mil
2025-05-16 10:00:00,Student,1.83 Mil
2025-05-16 10:00:00,Unknown,58.5 K
2025-05-16 11:00:00,Faculty,381 K
2025-05-16 11:00:00,Member,8.77 K
2025-05-16 11:00:00,Staff,209 K
2025-05-16 11:00:00,Student,1.63 Mil
2025-05-16 11:00:00,Unknown,28.3 K
2025-05-16 12:00:00,Faculty,280 K
2025-05-16 12:00:00,Member,76.1 K
2025-05-16 12:00:00,Staff,1.13 Mil
2025-05-16 12:00:00,Student,366 K
2025-05-16 12:00:00,Unknown,55.7 K
2025-05-16 13:00:00,Faculty,48.6 K
2025-05-16 13:00:00,Member,339 K
2025-05-16 13:00:00,Staff,802 K
2025-05-16 13:00:00,Student,599 K
2025-05-16 13:00:00,Unknown,1.45 Mil
2025-05-16 14:00:00,Faculty,188 K
2025-05-16 14:00:00,Staff,654 K
2025-05-16 14:00:00,Student,600 K
2025-05-16 14:00:00,Unknown,373 K
2025-05-16 15:00:00,Faculty,805 K
2025-05-16 15:00:00,Member,87.0 K
2025-05-16 15:00:00,Staff,1.15 Mil
2025-05-16 15:00:00,Student,594 K
2025-05-16 15:00:00,Unknown,83.6 K
2025-05-16 16:00:00,Faculty,62.7 K
2025-05-16 16:00:00,Member,44.9 K
2025-05-16 16:00:00,Staff,486 K
2025-05-16 16:00:00,Student,518 K
2025-05-16 16:00:00,Unknown,111 K
2025-05-16 17:00:00,Alum,3.05 K
2025-05-16 17:00:00,Faculty,43.0 K
2025-05-16 17:00:00,Member,74.9 K
2025-05-16 17:00:00,Staff,148 K
2025-05-16 17:00:00,Student,198 K
2025-05-16 18:00:00,Alum,22.1 K
2025-05-16 18:00:00,Faculty,10.3 K
2025-05-16 18:00:00,Staff,516
2025-05-16 18:00:00,Student,275 K
2025-05-16 18:00:00,Unknown,35.1 K
2025-05-16 19:00:00,Faculty,109 K
2025-05-16 19:00:00,Staff,2.43 Mil
2025-05-16 19:00:00,Student,220 K
2025-05-16 20:00:00,Faculty,7.95 K
2025-05-16 20:00:00,Staff,535 K
2025-05-16 20:00:00,Student,1.54 Mil
2025-05-16 20:00:00,Unknown,2.71 Mil
2025-05-16 21:00:00,Faculty,6.02 K
2025-05-16 21:00:00,Staff,559 K
2025-05-16 21:00:00,Student,264 K
2025-05-16 21:00:00,Unknown,8.90 K
2025-05-16 22:00:00,Faculty,4.44 K
2025-05-16 22:00:00,Student,180 K
2025-05-16 22:00:00,Unknown,5.95 K
2025-05-16 23:00:00,Faculty,3.29 K
2025-05-16 23:00:00,Student,249 K
2025-05-17 00:00:00,Faculty,1.00 K
2025-05-17 00:00:00,Staff,1.50 K
2025-05-17 00:00:00,Student,631 K
2025-05-17 01:00:00,Faculty,297 K
2025-05-17 01:00:00,Student,401 K
2025-05-17 01:00:00,Unknown,3.13 K
2025-05-17 02:00:00,Faculty,31.9 K
2025-05-17 02:00:00,Student,67.5 K
2025-05-17 02:00:00,Unknown,20.1 K
2025-05-17 03:00:00,Unknown,16.7 K
2025-05-17 04:00:00,Student,20.6 K
2025-05-17 04:00:00,Unknown,11.8 K
2025-05-17 05:00:00,Student,56.0 K
2025-05-17 05:00:00,Unknown,593
2025-05-17 06:00:00,Unknown,11.6 K
2025-05-17 07:00:00,Student,1.72 K
2025-05-17 07:00:00,Unknown,59.5 K
2025-05-17 08:00:00,Faculty,3.51 K
2025-05-17 08:00:00,Member,1.64 K
2025-05-17 08:00:00,Staff,102 K
2025-05-17 08:00:00,Student,77.8 K
2025-05-17 08:00:00,Unknown,1.80 K
2025-05-17 09:00:00,Staff,2.30 Mil
2025-05-17 09:00:00,Student,255 K
2025-05-17 09:00:00,Unknown,6.07 K
2025-05-17 10:00:00,Faculty,6.79 K
2025-05-17 10:00:00,Member,15.5 K
2025-05-17 10:00:00,Staff,303 K
2025-05-17 10:00:00,Student,496 K
2025-05-17 10:00:00,Unknown,9.27 K
2025-05-17 11:00:00,Faculty,6.99 K
2025-05-17 11:00:00,Member,24.2 K
2025-05-17 11:00:00,Staff,1.26 Mil
2025-05-17 11:00:00,Student,741 K
2025-05-17 11:00:00,Unknown,1.68 K
2025-05-17 12:00:00,Faculty,53.1 K
2025-05-17 12:00:00,Member,86.4 K
2025-05-17 12:00:00,Staff,73.9 K
2025-05-17 12:00:00,Student,3.23 Mil
2025-05-17 13:00:00,Alum,15.9 K
2025-05-17 13:00:00,Faculty,381 K
2025-05-17 13:00:00,Member,41.3 K
2025-05-17 13:00:00,Staff,1.10 Mil
2025-05-17 13:00:00,Student,919 K
2025-05-17 13:00:00,Unknown,527
2025-05-17 14:00:00,Faculty,168 K
2025-05-17 14:00:00,Staff,80.3 K
2025-05-17 14:00:00,Student,762 K
2025-05-17 14:00:00,Unknown,10.5 K
2025-05-17 15:00:00,Alum,9.48 K
2025-05-17 15:00:00,Faculty,20.1 K
