sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-26 22:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-26 23:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 00:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,100,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 01:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,91,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 02:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,92,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 03:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,90,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 04:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,91,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 05:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,91,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 06:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,92,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 07:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,91,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27 08:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,91,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
